1.0736,1.0444,4.1168,0.7278,2.0299,0.7242,1.1556,3.6320,1.5270,0.4398,3.1953,0.2892,0.5802,5.7172,0.6098,1.7570,1.0057,1.1852,0.7119,1.8542,0.4812,0.9391,2.9442,1.0146,2.8438,0.5179,0.6878,4.4765,0.2600,0.4156,0.2722,1.1278,0.8560,0.3591,1.7908,0.4784,1.0874,0.9214,0.3243,2.7228,0.4626,0.1960,1.6366,0.7973,0.3806
1.0385,1.0271,4.8245,0.7823,1.8846,0.7404,1.2446,3.3248,1.7325,0.4566,3.0709,0.2569,0.6027,5.4176,0.6010,1.8233,0.8315,1.1028,0.6885,1.9222,0.3916,0.9089,3.0584,0.9163,2.7496,0.4694,0.6903,4.4803,0.2273,0.4029,0.2325,1.1485,0.8309,0.3070,1.8274,0.4710,0.9287,0.9959,0.3548,2.6770,0.4823,0.2071,1.7558,0.7705,0.3668
1.0466,1.0283,3.9231,0.6786,1.9319,0.7520,1.0209,2.9804,1.4845,0.4196,3.0350,0.3097,0.5470,4.6822,0.6113,1.6947,0.8975,1.1484,0.6998,1.7779,0.5256,0.9123,2.6747,1.0376,2.8262,0.5127,0.6727,4.4400,0.2747,0.4160,0.2802,1.1006,0.9035,0.3653,1.6557,0.5856,1.1318,0.8813,0.3797,2.7486,0.4722,0.2348,1.6192,0.8061,0.4110
1.0103,1.0062,4.0399,0.7212,2.0707,0.8267,1.1150,3.1611,1.5854,0.4282,3.3084,0.3290,0.5597,5.0507,0.6309,1.7257,1.0335,1.2983,0.7081,1.9057,0.5462,0.9256,2.9460,1.0475,2.8539,0.6028,0.7478,4.5598,0.3026,0.4440,0.2800,1.1854,0.8069,0.3661,1.8325,0.5285,1.1287,0.8904,0.3773,2.8363,0.4470,0.2240,1.7082,0.7761,0.3840
1.0243,1.0162,5.0002,0.8368,2.0705,0.8562,1.4222,4.2331,1.8899,0.4640,3.4232,0.2877,0.6148,6.9987,0.6350,1.8244,1.1984,1.2938,0.6932,2.0669,0.4333,0.9185,3.5129,0.9563,2.7256,0.6015,0.7812,4.5064,0.2600,0.4332,0.2292,1.2302,0.7391,0.3037,2.0908,0.3615,0.9012,1.0262,0.2953,2.6821,0.4436,0.1638,1.7810,0.7348,0.3263
1.0226,1.0158,5.2820,0.8257,1.8987,0.9066,1.3573,3.5695,1.9786,0.4622,3.1680,0.2909,0.6095,5.9557,0.6349,1.8278,1.0222,1.1867,0.6755,2.0138,0.4280,0.8908,3.3101,0.9341,2.6716,0.5681,0.7543,4.4576,0.2551,0.4222,0.2134,1.1882,0.7872,0.2814,1.9530,0.4187,0.8439,1.0448,0.3381,2.6301,0.4692,0.1892,1.7875,0.7381,0.3405
1.0537,1.0325,3.8857,0.6951,2.0867,0.6163,1.0748,3.6217,1.3961,0.4249,3.2642,0.2562,0.5562,5.6656,0.5803,1.7190,0.8986,1.1728,0.7110,1.8195,0.4375,0.9307,2.8135,0.9910,2.8764,0.4462,0.6537,4.4997,0.2309,0.3996,0.2862,1.1265,0.8450,0.3747,1.7419,0.4868,1.1580,0.8619,0.3211,2.7859,0.4460,0.1963,1.6314,0.8002,0.3953
0.9474,0.9648,4.9315,0.7714,1.9227,0.8032,1.2664,3.7214,1.7905,0.4292,3.2563,0.2661,0.5635,6.3026,0.5933,1.7161,1.0265,1.1823,0.6530,1.9877,0.3976,0.8574,3.2633,0.8864,2.6109,0.5315,0.7217,4.4219,0.2365,0.4016,0.2243,1.2165,0.7497,0.2944,1.9972,0.3873,0.8967,1.0021,0.3154,2.7063,0.4459,0.1755,1.8113,0.7305,0.3389
0.9824,0.9884,5.1419,0.8004,1.8576,0.9677,1.2645,3.1055,1.9317,0.4485,3.1276,0.3132,0.5839,5.2288,0.6252,1.8442,0.9841,1.1749,0.6669,2.0036,0.4628,0.8681,3.1655,0.9239,2.7420,0.5958,0.7527,4.6166,0.2751,0.4218,0.2184,1.2040,0.7863,0.2843,1.9022,0.4703,0.8978,1.0121,0.3832,2.7742,0.4673,0.2147,1.8773,0.7295,0.3547
0.9964,0.9977,3.1489,0.6348,2.9682,0.4320,1.0311,10.5139,1.0798,0.3880,4.5102,0.2080,0.5088,15.9759,0.5199,1.6117,2.1916,1.5466,0.7493,1.8627,0.4011,0.9826,3.0256,1.0026,3.1125,0.4151,0.6388,4.7294,0.2048,0.3904,0.3616,1.2287,0.6482,0.4741,1.9957,0.1830,1.5019,0.6708,0.1166,3.1195,0.3310,0.0713,1.6176,0.8015,0.3763
